words,severity
abuse,3
addict,1
addicts,1
amateur,1
anal,2
analsex,3
angie,2
angry,1
anus,3
aroused,1
arse,2
arsehole,3
ass,2
ass-hat,2
assassin,4
assault,3
assbag,3
assbite,2
assclown,4
asscock,4
asses,3
assface,4
assfuck,3
asshat,3
asshead,3
asshole,3
assholes,3
asshore,3
asskiss,3
assklown,3
asslick,2
asslover,3
assman,3
assmunch,2
assshit,2
assshole,2
asswad,2
asswhore,4
asswipe,2
attack,2
axwound,1
backdoor,2
backseat,1
badfuck,4
balls,3
ballsack,3
bampot,1
banging,1
baptist,1
barf,2
barface,3
barfface,3
bastard,2
bazongas,2
bazooms,2
beaner,5
beartrap,2
beast,1
beastial,3
beat-off,2
beatoff,2
beaver,3
bestial,3
biatch,2
bigass,2
bigbutt,2
bigger,2
bitch,3
bitchass,3
bitcher,3
bitches,3
bitchez,3
bitchin,3
bitching,3
bitchy,3
biteme,1
blackman,4
blackout,2
blind,2
blow,1
blow job,3
blowjob,3
boang,2
bogan,2
bohunk,2
bollick,2
bollock,2
bollocks,2
bollox,2
bomb,1
bombers,1
bombing,4
bombs,2
bondage,2
boner,2
bong,1
boob,1
boobies,1
boobs,1
booby,1
boody,1
boom,2
boong,1
boonga,1
boonie,2
booty,1
bra,1
brea5t,1
breast,1
brothel,1
bugger,1
buggered,1
buggery,1
bullcrap,3
bulldike,2
bulldyke,2
bullshit,2
bumfuck,3
bunga,1
bunghole,1
buried,3
burn,2
butt,1
buttbang,3
buttface,4
buttfuck,3
butthead,4
buttman,2
buttplug,3
byatch,3
cacker,1
cameltoe,2
cancer,4
carruth,1
cemetery,1
chav,3
chin,1
chinc,4
chink,4
chinky,4
choad,1
chode,2
cigs,1
clit,2
clitface,4
clitfuck,3
clitoris,2
clogwog,1
cocaine,2
cock,2
cockass,3
cockbite,3
cockface,4
cockhead,3
cockknob,3
cocknob,3
cocknose,3
cockshit,3
cocksman,3
cocksuck,4
cocktail,1
cocky,2
commie,2
condom,2
coochie,3
coochy,3
coolie,4
cooly,4
coon,4
coondog,5
cra5h,3
crabs,3
crack,2
cracker,5
crap,2
crapola,2
crapper,2
crappy,2
crash,2
crime,2
crimes,2
criminal,3
cum,2
cumfest,3
cumm,3
cummer,4
cumming,4
cumquat,3
cumqueen,4
cumshot,4
cumslut,4
cumtart,2
cunt,3
cuntass,3
cunteyed,3
cuntface,3
cuntfuck,5
cunthole,3
cuntlick,4
cuntrag,3
cuntslut,4
datnigga,5
dead,3
death,2
demon,2
deposit,1
desire,1
destroy,2
devil,2
dick,3
dickbag,3
dickface,3
dickfuck,3
dickhead,3
dickhole,3
dickless,4
dicklick,4
dickman,3
dickmilk,3
dicks,3
dickslap,2
dickwad,2
dickweed,2
dickwod,3
